District,District Code,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino of any race,Native Hawaiian or Other Pacific Islander,White,Total,Two or More Races
Achievement First Hartford Academy Inc. District,2880013,*,7,800,332,*,*,1149,0
Amistad Academy District,2790013,*,*,682,372,13,9,1081,*
Andover School District,0010011,0,0,0,17,0,180,204,7
Ansonia School District,0020011,*,44,415,863,*,867,2304,98
Area Cooperative Educational Services,2440014,*,76,593,666,*,511,1942,85
Ashford School District,0030011,0,*,9,32,*,331,395,17
Avon School District,0040011,10,550,174,202,0,2157,3221,128
Barkhamsted School District,0050011,0,*,*,6,0,232,248,8
Berlin School District,0070011,*,87,54,298,*,2274,2795,78
Bethany School District,0080011,0,31,*,31,0,292,365,*
Bethel School District,0090011,*,202,86,536,*,2122,3059,94
Bloomfield School District,0110011,*,51,1563,217,*,210,2149,99
Bolton School District,0120011,0,21,53,63,0,647,812,28
Booker T. Washington Academy District,2950013,0,0,254,41,0,*,300,*
Bozrah School District,0130011,0,0,*,*,0,164,204,21
Branford School District,0140011,8,214,115,302,0,2193,2918,86
Brass City Charter School District,2900013,0,6,77,121,0,25,254,25
Bridgeport Achievement First District,2850013,*,11,569,463,11,*,1062,0
Bridgeport School District,0150011,155,575,7262,10031,37,2651,20896,185
Bristol School District,0170011,9,294,552,2178,10,4672,7997,282
Brookfield School District,0180011,7,202,67,268,7,2072,2639,16
Brooklyn School District,0190011,*,27,12,92,*,729,898,34
Canaan School District,0210011,0,0,0,6,0,65,71,0
Canterbury School District,0220011,0,*,*,25,0,410,459,18
Canton School District,0230011,*,47,111,100,*,1315,1608,32
Capital Preparatory Harbor School District,2970013,0,0,344,88,0,*,439,*
Capitol Region Education Council,2410014,15,519,2432,3018,12,2146,8564,422
Chaplin School District,0240011,0,*,*,10,0,130,148,*
Cheshire School District,0250011,7,418,115,239,0,3431,4296,86
Chester School District,0260011,0,*,*,9,0,183,205,9
Clinton School District,0270011,*,53,9,264,*,1406,1767,30
Colchester School District,0280011,*,61,42,159,*,2101,2452,81
Colebrook School District,0290011,0,0,*,*,0,79,87,*
Columbia School District,0300011,0,*,*,30,0,394,437,6
Common Ground High School District,2680013,0,*,83,62,0,48,202,*
Connecticut Technical Education and Career System,9000016,30,145,1271,4002,16,4900,10729,365
Cooperative Educational Services,2430014,0,32,217,315,0,238,834,32
Cornwall School District,0310011,0,*,0,9,0,56,73,*
Coventry School District,0320011,*,27,*,102,0,1491,1690,57
Cromwell School District,0330011,*,132,166,179,*,1434,1973,55
Danbury School District,0340011,11,744,819,5673,7,3919,11483,310
Darien School District,0350011,*,208,39,253,*,4179,4818,131
Deep River School District,0360011,0,*,*,24,0,235,276,10
Department of Mental Health and Addiction Services,3370015,0,0,*,*,0,*,*,0
Derby School District,0370011,*,28,247,421,*,601,1370,68
East Granby School District,0400011,*,54,62,54,*,651,848,22
East Haddam School District,0410011,*,13,*,28,0,956,1023,17
East Hampton School District,0420011,*,29,25,100,*,1657,1869,53
East Hartford School District,0430011,*,342,2211,3213,*,1046,6868,36
East Haven School District,0440011,*,111,128,718,*,1839,2872,70
East Lyme School District,0450011,*,239,55,191,*,2147,2757,120
East Windsor School District,0470011,*,49,121,213,0,650,1082,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,*,*,20,81,0,305,425,14
Eastford School District,0390011,0,0,0,14,0,130,151,7
Easton School District,0460011,*,50,7,58,*,750,906,36
EdAdvance,2420014,0,*,12,58,*,155,232,*
Ellington School District,0480011,*,288,106,125,*,2097,2688,69
Elm City College Preparatory School District,2890013,*,*,547,188,13,0,752,*
Elm City Montessori School District,2910013,0,0,75,48,0,40,170,7
Enfield School District,0490011,14,181,296,780,10,3687,5206,238
Essex School District,0500011,0,*,*,28,0,290,346,18
Explorations District,2720013,0,0,*,7,0,81,96,*
Fairfield School District,0510011,6,583,203,1111,0,7638,9976,435
Farmington School District,0520011,*,883,214,335,*,2551,4112,125
Franklin School District,0530011,*,*,7,8,0,139,165,6
Glastonbury School District,0540011,*,627,197,547,*,4236,5919,296
Granby School District,0560011,8,28,97,67,0,1617,1874,57
Great Oaks Charter School District,2940013,*,0,188,189,*,16,400,*
Greenwich School District,0570011,*,782,246,1959,*,5640,9042,402
Griswold School District,0580011,*,37,52,142,*,1409,1779,118
Groton School District,0590011,36,282,319,859,18,2435,4381,432
Guilford School District,0600011,*,144,43,236,*,2829,3388,129
Hamden School District,0620011,*,438,1577,1074,*,2027,5420,293
Hampton School District,0630011,0,0,*,*,0,87,93,*
Hartford School District,0640011,54,836,6032,10704,41,2053,20142,422
Hartland School District,0650011,0,*,7,*,*,154,173,7
Hebron School District,0670011,*,9,*,37,0,632,702,17
Highville Charter School District,2860013,0,0,469,27,0,*,502,*
Integrated Day Charter School District,2640013,0,46,28,45,0,176,331,36
Interdistrict School for Arts and Comm District,2650013,*,*,59,142,*,51,271,8
Jumoke Academy District,2610013,0,*,715,30,0,0,753,*
Kent School District,0680011,0,9,0,15,0,191,225,10
Killingly School District,0690011,*,67,66,217,*,2020,2523,118
Learn,2450014,9,62,380,950,8,862,2484,213
Lebanon School District,0710011,11,19,15,65,*,892,1011,*
Ledyard School District,0720011,84,93,129,258,10,1733,2439,132
Lisbon School District,0730011,0,*,*,30,*,323,398,34
Litchfield School District,0740011,0,16,6,48,9,830,918,9
Madison School District,0760011,*,111,18,130,*,2478,2835,92
Manchester School District,0770011,20,525,1503,1708,6,2270,6228,196
Mansfield School District,0780011,*,148,*,133,0,782,1138,45
Marlborough School District,0790011,*,8,*,28,0,436,491,10
Meriden School District,0800011,*,169,844,4285,*,2346,7933,279
Middletown School District,0830011,*,209,906,912,*,2202,4588,345
Milford School District,0840011,6,548,280,507,9,4359,5792,83
Monroe School District,0850011,*,149,66,258,*,2577,3149,96
