District,District Code,Free,Non-Subsidized,Reduced,Total
Achievement First Hartford Academy Inc. District,2880013,1140,*,*,1149
Amistad Academy District,2790013,1038,24,19,1081
Andover School District,0010011,31,164,9,204
Ansonia School District,0020011,1328,722,254,2304
Area Cooperative Educational Services,2440014,1058,752,132,1942
Ashford School District,0030011,97,273,25,395
Avon School District,0040011,177,3026,18,3221
Barkhamsted School District,0050011,*,221,*,248
Berlin School District,0070011,349,2375,71,2795
Bethany School District,0080011,*,332,*,365
Bethel School District,0090011,435,2442,182,3059
Bloomfield School District,0110011,885,1095,169,2149
Bolton School District,0120011,104,691,17,812
Booker T. Washington Academy District,2950013,192,56,52,300
Bozrah School District,0130011,47,148,9,204
Branford School District,0140011,607,2115,196,2918
Brass City Charter School District,2900013,114,89,51,254
Bridgeport Achievement First District,2850013,1023,23,16,1062
Bridgeport School District,0150011,11962,8934,0,20896
Bristol School District,0170011,3089,4447,461,7997
Brookfield School District,0180011,209,2361,69,2639
Brooklyn School District,0190011,257,620,21,898
Canaan School District,0210011,11,60,0,71
Canterbury School District,0220011,97,341,21,459
Canton School District,0230011,181,1386,41,1608
Capital Preparatory Harbor School District,2970013,220,171,48,439
Capitol Region Education Council,2410014,3779,4134,651,8564
Chaplin School District,0240011,51,89,8,148
Cheshire School District,0250011,292,3926,78,4296
Chester School District,0260011,*,174,*,205
Clinton School District,0270011,325,1338,104,1767
Colchester School District,0280011,328,2044,80,2452
Colebrook School District,0290011,*,71,*,87
Columbia School District,0300011,67,363,7,437
Common Ground High School District,2680013,100,84,18,202
Connecticut Technical Education and Career System,9000016,3576,6675,478,10729
Cooperative Educational Services,2430014,195,530,109,834
Cornwall School District,0310011,7,66,0,73
Coventry School District,0320011,281,1362,47,1690
Cromwell School District,0330011,290,1607,76,1973
Danbury School District,0340011,5250,4825,1408,11483
Darien School District,0350011,58,4724,36,4818
Deep River School District,0360011,53,197,26,276
Department of Mental Health and Addiction Services,3370015,*,0,0,*
Derby School District,0370011,728,492,150,1370
East Granby School District,0400011,107,741,0,848
East Haddam School District,0410011,98,897,28,1023
East Hampton School District,0420011,175,1647,47,1869
East Hartford School District,0430011,4398,2035,435,6868
East Haven School District,0440011,986,1570,316,2872
East Lyme School District,0450011,305,2363,89,2757
East Windsor School District,0470011,390,614,78,1082
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,187,214,24,425
Eastford School District,0390011,34,117,0,151
Easton School District,0460011,21,879,6,906
EdAdvance,2420014,213,19,0,232
Ellington School District,0480011,252,2400,36,2688
Elm City College Preparatory School District,2890013,727,15,10,752
