District,District Code,Four-Year Cohort Count,Graduation Count,Graduation Rate
Achievement First Hartford Academy Inc. District,2880013,31,28,90.3
Amistad Academy District,2790013,43,35,81.4
Ansonia School District,0020011,179,150,83.8
Avon School District,0040011,248,241,97.2
Berlin School District,0070011,235,222,94.5
Bethel School District,0090011,209,196,93.8
Bloomfield School District,0110011,194,167,86.1
Bolton School District,0120011,69,67,97.1
Branford School District,0140011,258,243,94.2
Bridgeport Achievement First District,2850013,31,25,80.6
Bridgeport School District,0150011,1404,1046,74.5
Bristol School District,0170011,633,551,87
Brookfield School District,0180011,229,220,96.1
Canton School District,0230011,118,113,95.8
Capital Preparatory Harbor School Inc. District,2970013,16,8,*
Capitol Region Education Council,2410014,496,458,92.3
Cheshire School District,0250011,391,378,96.7
Clinton School District,0270011,139,125,89.9
Colchester School District,0280011,212,194,91.5
Common Ground High School District,2680013,43,37,86
Connecticut Technical Education and Career System,9000016,2431,2370,97.5
Coventry School District,0320011,131,128,97.7
Cromwell School District,0330011,144,141,97.9
Danbury School District,0340011,781,613,78.5
Darien School District,0350011,328,319,97.3
Department of Mental Health and Addiction Services,3370015,*,*,*
Derby School District,0370011,99,85,85.9
East Granby School District,0400011,58,56,96.6
East Haddam School District,0410011,83,80,96.4
East Hampton School District,0420011,133,127,95.5
East Hartford School District,0430011,521,463,88.9
East Haven School District,0440011,243,186,76.5
East Lyme School District,0450011,260,251,96.5
East Windsor School District,0470011,73,61,83.6
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,51,39,76.5
Ellington School District,0480011,206,199,96.6
Elm City College Preparatory School District,2890013,35,30,85.7
Enfield School District,0490011,389,330,84.8
Explorations District,2720013,22,18,81.8
Fairfield School District,0510011,735,704,95.8
Farmington School District,0520011,305,299,98
Glastonbury School District,0540011,484,474,97.9
Granby School District,0560011,157,148,94.3
Greenwich School District,0570011,641,606,94.5
Griswold School District,0580011,143,133,93
Groton School District,0590011,276,234,84.8
Guilford School District,0600011,262,257,98.1
Hamden School District,0620011,442,387,87.6
Hartford School District,0640011,1544,1062,68.8
Highville Charter School District,2860013,13,10,*
Jumoke Academy District,2610013,8,*,*
Killingly School District,0690011,226,191,84.5
Learn,2450014,190,177,93.2
Lebanon School District,0710011,89,84,94.4
Ledyard School District,0720011,206,193,93.7
Litchfield School District,0740011,77,71,92.2
Madison School District,0760011,304,297,97.7
Manchester School District,0770011,429,370,86.2
Meriden School District,0800011,600,454,75.7
Middletown School District,0830011,334,308,92.2
Milford School District,0840011,505,455,90.1
Monroe School District,0850011,288,277,96.2
Montville School District,0860011,154,137,89
Naugatuck School District,0880011,329,279,84.8
New Britain School District,0890011,667,488,73.2
New Canaan School District,0900011,328,326,99.4
New Fairfield School District,0910011,232,230,99.1
New Haven School District,0930011,1516,1213,80
New London School District,0950011,226,171,75.7
New Milford School District,0960011,342,281,82.2
Newington School District,0940011,317,295,93.1
Newtown School District,0970011,427,404,94.6
North Branford School District,0990011,155,144,92.9
North Haven School District,1010011,255,244,95.7
North Stonington School District,1020011,55,51,92.7
Norwalk School District,1030011,866,805,93
Norwich Free Academy District,9010022,637,552,86.7
Old Saybrook School District,1060011,96,93,96.9
Oxford School District,1080011,178,170,95.5
Path Academy District,2930013,68,6,8.8
Plainfield School District,1090011,179,152,84.9
Plainville School District,1100011,192,173,90.1
Plymouth School District,1110011,136,118,86.8
Portland School District,1130011,101,94,93.1
Putnam School District,1160011,71,61,85.9
Regional School District 01,2010012,115,109,94.8
Regional School District 04,2040012,149,149,100
Regional School District 05,2050012,350,335,95.7
Regional School District 06,2060012,112,111,99.1
Regional School District 07,2070012,199,190,95.5
Regional School District 08,2080012,262,245,93.5
Regional School District 09,2090012,267,256,95.9
Regional School District 10,2100012,200,189,94.5
Regional School District 11,2110012,45,44,97.8
Regional School District 12,2120012,49,48,98
Regional School District 13,2130012,145,138,95.2
Regional School District 14,2140012,172,164,95.3
Regional School District 15,2150012,320,299,93.4
Regional School District 16,2160012,178,158,88.8
Regional School District 17,2170012,151,144,95.4
Regional School District 18,2180012,124,115,92.7
Regional School District 19,2190012,292,259,88.7
Ridgefield School District,1180011,433,415,95.8
Rocky Hill School District,1190011,176,171,97.2
Seymour School District,1240011,163,155,95.1
Shelton School District,1260011,397,367,92.4
Simsbury School District,1280011,384,357,93
Somers School District,1290011,109,106,97.2
South Windsor School District,1320011,341,324,95
Southington School District,1310011,489,463,94.7
Stafford School District,1340011,123,112,91.1
Stamford Academy District,2820013,68,21,30.9
Stamford School District,1350011,1200,1096,91.3
Stonington School District,1370011,183,164,89.6
Stratford School District,1380011,517,459,88.8
Suffield School District,1390011,186,169,90.9
The Bridge Academy District,2690013,33,30,90.9
The Gilbert School District,9020022,108,98,90.7
Thomaston School District,1400011,63,59,93.7
Thompson School District,1410011,57,50,87.7
Tolland School District,1420011,209,197,94.3
Torrington School District,1430011,243,171,70.4
Trumbull School District,1440011,497,484,97.4
Unified School District #1,3360015,390,*,*
Unified School District #2,3470015,28,8,28.6
Vernon School District,1460011,238,182,76.5
Wallingford School District,1480011,485,447,92.2
Waterbury School District,1510011,1317,995,75.6
Waterford School District,1520011,220,204,92.7
Watertown School District,1530011,216,198,91.7
West Hartford School District,1550011,775,722,93.2
West Haven School District,1560011,420,316,75.2
Westbrook School District,1540011,74,68,91.9
Weston School District,1570011,206,205,99.5
Westport School District,1580011,433,424,97.9
Wethersfield School District,1590011,279,256,91.8
Wilton School District,1610011,336,327,97.3
Windham School District,1630011,150,121,80.7
Windsor Locks School District,1650011,120,99,82.5
Windsor School District,1640011,293,247,84.3
Wolcott School District,1660011,194,184,94.8
Woodstock Academy District,9030022,270,254,94.1
