District Name,District Code,Category,Student Group,ELACount,ELAPerformanceIndex,MathCount,MathPerformanceIndex,ScienceCount,SciencePerformanceIndex
Andover School District,0010011,All Students,District,113,79.3,113,76.6,N/A,N/A
Andover School District,0010011,English Language Learners (EL),English Learners,6,*,6,*,N/A,N/A
Andover School District,0010011,English Language Learners (EL),Not English Learners,107,79.7,107,76.7,N/A,N/A
Andover School District,0010011,Gender,Female,61,83.2,61,77.9,N/A,N/A
Andover School District,0010011,Gender,Male,52,74.7,52,75.1,N/A,N/A
Andover School District,0010011,Grade,3,22,74.5,22,69.3,N/A,N/A
Andover School District,0010011,Grade,4,28,77.9,28,77.3,N/A,N/A
Andover School District,0010011,Grade,5,26,81.2,26,82.9,N/A,N/A
Andover School District,0010011,Grade,6,37,82,37,76.1,N/A,N/A
Andover School District,0010011,"High Needs (F/R, EL or SWD)",High Needs,36,75.5,36,74.4,N/A,N/A
Andover School District,0010011,"High Needs (F/R, EL or SWD)",Not High Needs,77,81.1,77,77.7,N/A,N/A
Andover School District,0010011,Free/Reduced Price Meal Eligibility (2-level),Eligible For Free Or Reduced Price Meals,27,77.3,27,75.4,N/A,N/A
Andover School District,0010011,Free/Reduced Price Meal Eligibility (2-level),Not Eligible For Free Or Reduced Price Meals,86,80,86,77,N/A,N/A
Andover School District,0010011,Race/Ethnicity,Asian,N/A,N/A,N/A,N/A,N/A,N/A
Andover School District,0010011,Race/Ethnicity,Hispanic or Latino,7,*,7,*,N/A,N/A
Andover School District,0010011,Race/Ethnicity,Two or More Races,*,*,*,*,N/A,N/A
Andover School District,0010011,Race/Ethnicity,White,104,80.2,104,76.9,N/A,N/A
Andover School District,0010011,Special Education Status (SWD),Students with Disabilities,8,*,8,*,N/A,N/A
Andover School District,0010011,Special Education Status (SWD),Students without Disabilities,105,80.9,105,77.6,N/A,N/A
Ansonia School District,0020011,All Students,District,1169,59.6,1170,55.4,N/A,N/A
Ansonia School District,0020011,English Language Learners (EL),English Learners,97,56.4,97,55.8,N/A,N/A
Ansonia School District,0020011,English Language Learners (EL),Not English Learners,1072,59.9,1073,55.3,N/A,N/A
Ansonia School District,0020011,Gender,Female,565,62.6,564,56.1,N/A,N/A
Ansonia School District,0020011,Gender,Male,604,56.7,606,54.7,N/A,N/A
Ansonia School District,0020011,Grade,3,172,66.9,172,62.8,N/A,N/A
Ansonia School District,0020011,Grade,4,168,61.7,168,58.6,N/A,N/A
Ansonia School District,0020011,Grade,5,175,59.8,175,55.6,N/A,N/A
Ansonia School District,0020011,Grade,6,161,61.7,161,56.9,N/A,N/A
