District,District Code,In-School Suspension,Out-of-School Suspension,Expulsion,Bus Suspension
Achievement First Hartford Academy Inc. District,2880013,247,166,7,11
Amistad Academy District,2790013,440,353,7,24
Andover School District,0010011,*,0,0,0
Ansonia School District,0020011,208,288,21,0
Area Cooperative Educational Services,2440014,178,286,*,10
Ashford School District,0030011,9,*,0,0
Avon School District,0040011,105,30,*,*
Berlin School District,0070011,132,17,0,*
Bethany School District,0080011,9,0,0,*
Bethel School District,0090011,321,46,10,*
Bloomfield School District,0110011,271,247,7,7
Bolton School District,0120011,30,14,0,0
Booker T. Washington Academy District,2950013,*,*,0,*
Bozrah School District,0130011,*,*,0,*
Branford School District,0140011,244,124,*,13
Brass City Charter School District,2900013,*,*,0,0
Bridgeport Achievement First District,2850013,93,232,0,85
Bridgeport School District,0150011,3915,3008,59,8
Bristol School District,0170011,916,501,18,43
Brookfield School District,0180011,103,45,*,0
Brooklyn School District,0190011,77,8,0,9
Canaan School District,0210011,0,*,0,0
Canterbury School District,0220011,0,11,0,*
Canton School District,0230011,22,16,0,0
Capital Preparatory Harbor School Inc. District,2970013,0,107,*,0
Capitol Region Education Council,2410014,1041,606,0,24
Chaplin School District,0240011,*,*,0,0
Cheshire School District,0250011,112,53,*,12
Chester School District,0260011,*,0,0,0
Clinton School District,0270011,101,58,*,0
Colchester School District,0280011,121,55,7,9
Colebrook School District,0290011,*,*,0,0
Columbia School District,0300011,19,*,0,0
Common Ground High School District,2680013,6,12,0,0
Connecticut Technical Education and Career System,9000016,1899,854,97,*
Cooperative Educational Services,2430014,7,46,0,0
Cornwall School District,0310011,*,*,0,0
Coventry School District,0320011,52,9,0,*
Cromwell School District,0330011,192,50,0,22
Danbury School District,0340011,1381,753,*,10
Darien School District,0350011,90,15,*,0
Deep River School District,0360011,*,0,0,0
Derby School District,0370011,214,133,10,*
East Granby School District,0400011,46,27,0,0
East Haddam School District,0410011,71,15,0,0
East Hampton School District,0420011,49,20,0,*
East Hartford School District,0430011,1755,720,0,9
East Haven School District,0440011,315,169,0,*
East Lyme School District,0450011,124,22,6,8
East Windsor School District,0470011,175,75,6,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,39,33,0,0
Eastford School District,0390011,*,*,0,*
Easton School District,0460011,17,*,0,0
EdAdvance,2420014,6,6,0,0
Ellington School District,0480011,193,35,*,7
Elm City College Preparatory School District,2890013,136,250,*,0
Elm City Montessori School District,2910013,15,11,0,*
Enfield School District,0490011,697,357,10,13
Essex School District,0500011,*,*,0,0
Explorations District,2720013,10,23,0,0
Fairfield School District,0510011,314,21,*,0
Farmington School District,0520011,45,25,*,6
Franklin School District,0530011,*,0,0,0
Glastonbury School District,0540011,170,53,0,*
Granby School District,0560011,68,6,0,*
Great Oaks Charter School District,2940013,15,189,0,*
Greenwich School District,0570011,209,76,8,*
Griswold School District,0580011,124,75,7,*
Groton School District,0590011,527,245,15,*
Guilford School District,0600011,60,33,0,*
Hamden School District,0620011,781,369,11,17
Hartford School District,0640011,2783,2991,93,33
Hartland School District,0650011,*,*,0,0
Hebron School District,0670011,8,6,0,*
Highville Charter School District,2860013,106,72,0,0
Integrated Day Charter School District,2640013,15,16,0,0
Interdistrict School for Arts and Comm District,2650013,88,28,*,*
Jumoke Academy District,2610013,119,175,0,0
Kent School District,0680011,*,0,0,0
Killingly School District,0690011,571,77,*,24
Learn,2450014,222,272,*,*
Lebanon School District,0710011,111,15,*,0
Ledyard School District,0720011,173,62,0,*
Lisbon School District,0730011,14,18,0,0
Litchfield School District,0740011,67,13,0,*
Madison School District,0760011,78,13,*,0
Manchester School District,0770011,903,544,7,21
Mansfield School District,0780011,29,13,*,0
Meriden School District,0800011,263,668,*,0
Middletown School District,0830011,357,204,0,7
Milford School District,0840011,628,103,11,0
Monroe School District,0850011,53,27,0,0
Montville School District,0860011,195,71,*,24
Naugatuck School District,0880011,506,222,9,*
New Beginnings Inc Family Academy District,2800013,0,*,0,6
New Britain School District,0890011,2456,1232,17,79
New Canaan School District,0900011,24,*,0,0
New Fairfield School District,0910011,103,29,*,*
New Hartford School District,0920011,*,0,0,0
New Haven School District,0930011,432,2128,23,90
New London School District,0950011,549,170,*,15
New Milford School District,0960011,451,105,*,12
Newington School District,0940011,364,67,*,*
Newtown School District,0970011,130,40,0,*
Norfolk School District,0980011,*,0,0,0
North Branford School District,0990011,121,37,0,*
North Canaan School District,1000011,*,0,0,0
North Haven School District,1010011,77,70,0,8
North Stonington School District,1020011,28,13,*,*
Norwalk School District,1030011,981,468,26,14
Norwich Free Academy District,9010022,409,266,28,0
Norwich School District,1040011,286,456,9,*
Odyssey Community School District,2630013,7,16,0,0
Old Saybrook School District,1060011,36,23,0,0
Orange School District,1070011,18,0,0,*
Oxford School District,1080011,57,36,7,0
Park City Prep Charter School District,2830013,10,43,0,0
Path Academy District,2930013,18,71,*,0
